sentence,suggested ellipsis resolution,ellipsis type,source
Ты написал эссе? Я свое __ дома забыл.,эссе,NP_ellipsis,original
Мне нравится красный цвет. Оранжевый __ тоже ничего.,цвет,NP_ellipsis,original
"В этом датасете десять параметров, а в том датасете двенадцать __.",параметров,NP_ellipsis,original
"У меня две сестры, а у него три __.",сестры,NP_ellipsis,original
"С одной стороны, здесь мы видим это. С другой __, это неправильные данные.",стороны,NP_ellipsis,original
"Говорят, если в Яндексе пройти сто собеседований, то в конце позовут на сто первое __.",собеседование,NP_ellipsis,original
"Твоя собака очень милая, но моя __ милее.",собака,NP_ellipsis,original
"Я уже пятьдесят минут жду, пока скачается программа, и ещё десять __ придется ждать.",минут,NP_ellipsis,original
"Этот файл весит пятьдесят мегабайтов, а этот файл весит двадцать __.",мегабайтов,NP_ellipsis,original
"Петя сегодня отработал в офисе пять часов, а Витя восемь __.",часов,NP_ellipsis,original
"-- Принеси мне два гвоздя!
-- Да не эти __, а те __ принеси!","гвозди, гвозди",NP_ellipsis,original
"-- Возьми со стола пять чашек!
-- Ты взял четыре __, а нужно было пять __.","чашки, чашек",NP_ellipsis,original
"Петя доктор, и Даша тоже __.",доктор,NP_ellipsis,original
"Денис раньше работал в офисе на втором этаже, а сейчас работает в офисе на пятом __.",этаже,NP_ellipsis,original
"Я закинул свою одежду в стиральную машину, а твою __ пока не трогал.",одежду,NP_ellipsis,original
"Я не выучила стихотворение, а Петя выучил __.",стихотворение,NP_ellipsis,"Belova, D. (2024). Ellipsis in Tatyshly Udmurt. Expedition report. Ms."
"Маша поймала __, а Петя погладил собаку.",собаку,NP_ellipsis,"Belova, D. (2024). Ellipsis in Tatyshly Udmurt. Expedition report. Ms."
"Витя нарезал __, а Лиля пожарила овощи.",овощи,NP_ellipsis,original
"Альберт написал __, а Кирилл проверил код.",код,NP_ellipsis,original
"Лев разбил старую __, а Петя купил новую вазу.",вазу,NP_ellipsis,original
"Они знали, что Еремин гений, а все равно не выбрали __ председателем.",Еремина,NP_ellipsis,original
"Мише уже пришла посылка, а Костя еще ждет свою __.",посылку,NP_ellipsis,original
"Антон решил уже 5 заданий, а Витя только два __.",задания,NP_ellipsis,original
"Егор Карпов признался в списывании,а Маша Семёнова не призналась __.",в списывании,PP_ellipsis,original
"Я не хотел __, но вчера мы ходили в кино.",ходить в кино,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Вы не можете ответить, или просто не хотите __?",ответить,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Я не готовлю так хорошо, как ты __.",готовишь,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Я не умею готовить так хорошо, как ты __.",умеешь готовить,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Она меня не любит, и я её __.",не люблю,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Они могут бегать быстрее, чем я __.",могу бегать,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Хотя мы хотели нарушить закон, мы не посмели __.",нарушить закон,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Мы очень хотим путешествовать по Украине, но сейчас не можем __.",путешествовать по Украине,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Они попросили меня пойти на озеро, но у меня нет времени __.",пойти на озеро,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Я не ем столько, как он __.",ест,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Она знает больше о своей стране, чем он __.",знает о своей стране,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Моя девушка хочет в кино всегда, а я никогда __.",не хочу в кино,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Мы пришли сюда, потому что мы хотели __.",прийти сюда,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Хорошие студенты всегда делают домашки, а плохие студенты никогда __.",не делают домашки,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Мне вчера что-нибудь снилось, но не помню, что __.",мне снилось,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Мои родители живут в Новгороде, и сестра тоже __.",живет в Новгороде,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Каждый год он разбивает стакан, и его мать тоже __.",каждый год разбивает стакан,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Я не могу видеть без очков, а моя подруга может __.",видеть без очков,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Я ненавижу Марка, и ты тоже __.",ненавидишь Марка,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Я ненавижу Марка, и тебя тоже __.",ненавижу,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Так ли, для этого ли __? Мы для чего здесь сошлись? Нет, не для этого __.","сошлись, сошлись",VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Довольно, не хочу больше __! 
A: Не будем больше играть.",играть,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Ваня хотел поменять лампочку, но не успел __.",поменять лампочку,VP_ellipsis,original
"Я задал ему три вопроса, и ты тоже __.",задал ему три вопроса.,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Витя помогает ему мыть пол, и ты тоже __.",помоги,VP_ellipsis,original
"Я в первый раз там попробовал сало, и ты тоже __.",в первый раз там попробовал сало,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"В зоопарке я люблю смотреть слонов, и мои сёстры тоже __.",любят смотреть слонов,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Отец приказал мне убрать комнату, но я забыл __.",убрать комнату,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"При коммунизме было очень трудно достать машину в России, но сейчас не очень __.",очень трудно достать машину в России,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"У нас не только Иван хочет кофе, но и Юрий __.",хочет кофе,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis.txt
"Он сказал, что Катя будет читать эту лекцию, а на самом дело Cережа будет __.",читать эту лекцию,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis_2.txt
"Андрей считает, что никто не будет делать это домашнее задание, но я буду __.",делать это домашнее задание,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis_2.txt
"Kто будет ехать в Москву?
Только Петя будет __.",ехать в Москву,VP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis_2.txt
"Я всем буду помогать, даже Пете __ буду __.","я, помогать","NP_ellipsis, VP_ellipsis",https://github.com/dcavar/thec_rus/blob/main/data/VP_ellipsis_2.txt
"Я умею плавать, а он не умеет __.",плавать,VP_ellipsis,original
"Давайте посмотрим, что нам даст визуализация. Ну давайте __.",посмотрим,VP_ellipsis,original
"Витя согласился наругать Машу, а Петя отказался __.",наругать Машу,VP_ellipsis,original
"Миша согласился вести себя хорошо, а Антон отказался __.",вести себя хорошо,VP_ellipsis,original
"После последней сессии студенты сильно расстроились, но попытались взять себя в руки. Петя особенно остро реагирует на неудачи, и ему нужна дополнительная поддержка. Петя вдохновил себя на новые свершения, и Ваня тоже __.",вдохновил себя на новые свершения,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Петя и Ваня иногда согласны друг с другом, а иногда их мнения расходятся. Петя в этот раз сильно ленился. Их проект по программированию получил оценку ""удовлетворительно"". В этот раз Петя критикует себя, и Ваня тоже __.",критикует себя,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Петя постоянно сравнивает себя с другими людьми, и Ваня тоже __.",постоянно сравнивает себя с другими людьми,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Если Маша убеждает себя бросить курить, то Даша тоже __.",убеждает себя бросить курить,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Если Маша уважает себя, то Даша тоже __.",уважает себя,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Если Маша сразу заметила себя на фотографии, то Даша тоже __.",сразу заметила себя на фотографии,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Маше стало скучно, и она решила поговорить с Дашей, которая тоже скучала. Маша развлекала себя вопросами, и Даша тоже __.",развлекала себя вопросами,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Если Маша винит себя в произошедшем, то Даша тоже __.",винит себя в произошедшем,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Маша разрешила себе поесть мороженого, поэтому Даша тоже __.",разрешила себе поесть мороженого,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Петя и Ваня оба любят розыгрыши и соревнуются в том, кто умеет лучше разыгрывать людей. На 1 апреля Петя обманул свою сестру, и Ваня тоже __.",обманул свою сестру,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Ваня сомневается в своей победе, и Петя тоже __.",сомневается в своей победе,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Ваня учил свою сестру кататься на лыжах, и Петя тоже __.",учил свою сестру кататься на лыжах,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"В классе происходит выставка картин. Даша похвалит свою работу, и Маша тоже __.",похвалит свою работу,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Петя и Ваня часто гуляют вместе с Ваниной сестрой, а сестра Пети все время им мешает.
Петя в шутку ударил свою сестру, и Ваня тоже __.",в шутку ударил свою сестру,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Маша гораздо более убедительно говорит, чем Даша. Если Даша успокоит своего брата, то Маша тоже __.",успокоит своего брата,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Машины вкусы схожи с Дашиными. Если Маша ненавидит свой номер в отеле, то Даша тоже __.",ненавидит свой номер в отеле,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Преподаватель забыл почту одного из студентов. Маша напомнила свою почту, и Даша тоже __.",напомнила свою почту,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Петя гораздо более странно одевается, чем Ваня. Петя сегодня смутит свою жену, потому что Ваня тоже __.",сегодня смутит свою жену,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Петя помогает своей пожилой соседке, и Ваня тоже __.",помогает своей пожилой соседке,VP_ellipsis,"Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Петя и Ваня поехали в экспедицию. В экспедиции у каждого есть бытовые обязанности, которые ребята должны выполнять, даже если не хотят __. Петя помыл часть своей посуды, и Ваня тоже __.","выполнять, помыл часть своей посуды","VP_ellipsis, VP_ellipsis","Kuznetsova, S. (2024). Interpretation of Pronouns under Ellipsis in Russian. Thesis."
"Мариам поступила в университет, как и Касим __.",поступил в университет,VP_ellipsis,original
"Валера всю ночь играл в Вархаммер, это Герман его надоумил __.",играть в Вархаммер,VP_ellipsis,original
"Я сижу на Терра Хоминис, как и Рина __.",сидит на Терра Хоминис,VP_ellipsis,original
"Кажется, все когда-то хотели стать космонавтами, Валентин Анатольевич, вы разве не хотели __?",стать космонавтом,VP_ellipsis,original
"Валентин давно собирался завести собаку (отчислиться), и наконец решил __.",завести собаку (отчислиться),VP_ellipsis,original
"Как я и планировал __, я переехал в июне.",я переехал в июне,VP_ellipsis,original
"Аккуратнее, а то, как дядя Паша __, уедешь на скорой.",уехал на скорой,VP_ellipsis,original
"Серёжа начал курить тогда же, когда и все __",начали курить,VP_ellipsis,original
"Возможно ли привлечь их авторитет для установления более добрососедских отношений? Ответ: Наверное, можно было бы __. Но заниматься этим должна, как я понимаю, латвийская сторона.",привлечь их авторитет для установления более добрососедских отношений,VP_ellipsis,"[И. И. Студенников. Интервью латвийской газете «Телеграф» // «Дипломатический вестник», 2004]"
"Я очень хочу всё высказать, но не стану __.",высказывать,VP_ellipsis,original
"Петя силился вспомнить имя того человека, но не мог __.",вспомнить имя того человека,VP_ellipsis,original
"Ивану следовало позвать на помощь, но он отказывался __.",позвать на помощь,VP_ellipsis,original
"Хотя Кузьма собирался зайти в дом, он понял, что не должен __.",заходить в дом,VP_ellipsis,original
"А ты ездишь в экспедицию и собираешь все это, или просто сама __?",собираешь все это,VP_ellipsis,original
Петин отец служил в армии поэтому и он будет __.,служить в армии,VP_ellipsis,original
"Ваня чихнул во время урока, и Вика тоже __.",чихнула во время урока,VP_ellipsis,original
Все родственники Ани и Оли не едят рыбу и они тоже __.,не едят рыбу,VP_ellipsis,original
"Этим везде занимаются власти, а российское правительство увлечено либералистскими экспериментами и помогать «рыночному саморегулированию» не хочет — и, честно говоря, вряд ли смогло бы __.",помогать «рыночному саморегулированию»,VP_ellipsis,"[Александр Дейкин. Своя игра // «Время МН», 2003.08.02]"
"В результате мы решили вовремя остановиться. Могу сказать, что мы потеряли не так много, как могли бы __.",потерять,VP_ellipsis,"[Василий Аузан. B2C: Вack to College // «Эксперт-Интернет», 2001.03.12]"
"Зося нарисовала и голубей, и гостей: зайца, волка, лисичку, медведя, колобка, бабку, дедку, внучку, Жучку и репку. Не забыла и мышку __, а вот кошку — не стала __.","нарисовать, рисовать",VP_ellipsis,[А. В. Лисаченко. Алфавитные сказки (2015)]
"Мы тут чертим, как в школе научили __.",чертить,VP_ellipsis,original
"Как работали, так и будем __.",работать,VP_ellipsis,original
"Нас научили так класть кирпичи, так и будем __.",класть кирпичи,VP_ellipsis,original
"Развод Ильиных обсуждали, пока всем не надоело __.",обсуждать развод Ильиных,VP_ellipsis,original
"Она читает быстрее, чем он __.",читает,VP_ellipsis,original
"Мы бы взяли первое место, если бы хотели __.",взять первое место,VP_ellipsis,original
"Вика будет готовить сырники, как считает нужным __.",готовить сырники,VP_ellipsis,original
— Кто-нибудь видел этот фильм? — Я __.,видел этот фильм,VP_ellipsis,original
"Он умеет петь, и она тоже __.",умеет петь,VP_ellipsis,original
"Я не хочу уходить, но придётся __.",уйти,VP_ellipsis,original
"Все делали хим завивку, в том году было модно __.",делать хим завивку,VP_ellipsis,original
"Ира переживала по этому поводу, и я тоже __.",переживала по этому поводу,VP_ellipsis,original
"Сломалась мышка, и ноутбук тоже __.",сломался,VP_ellipsis,original
"Она любит читать, а он не любит __.",читать,VP_ellipsis,original
"Она считает интегралы лучше, чем он __.",считает интегралы,VP_ellipsis,original
"Я не успел сделать макет, а он даже не начинал.",делать макет,VP_ellipsis,original
Раз двадцать уже смотрел. И еще буду __.,смотреть,VP_ellipsis,original
"— Ты купил хлеб?
— Нет, забыл __.",купить хлеб,VP_ellipsis,original
"— Кто-нибудь помыл посуду?
— Я __, а брат нет __.","помыл, не помыл","VP_ellipsis, polarity ellipsis",original
"— Ты можешь сейчас мне помочь?
— Сейчас не смогу __.",тебе помочь,VP_ellipsis,original
"Он хотел уйти, но не решился __.",уйти,VP_ellipsis,original
"Ты смог понять сегодняшнюю тему по математике? Мне кажется, никто не смог __.",понять сегодняшнюю тему по математике,VP_ellipsis,original
Кто обещает быть хорошим студентом? Я обещаю __.,быть хорошим студентом,VP_ellipsis,original
Кто будет прыгать первым? Я буду __.,прыгать первым,VP_ellipsis,original
"Петя разморозил курицу? Нет, забыл __.",разморозить курицу,VP_ellipsis,original
Кто был рождён для великих дел? Макбет был __.,рождён для великих дел,VP_ellipsis,original
Я должен Мише позвонить или ты __?,должен Мише позвонить,stripping,https://github.com/dcavar/thec_rus/blob/main/data/stripping.txt
"Она попросила Мишу остаться, и Вася тоже __.",попросил Мишу остаться,stripping,https://github.com/dcavar/thec_rus/blob/main/data/stripping.txt
"Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже __.",поедет в Санкт-Петербург.,stripping,https://github.com/dcavar/thec_rus/blob/main/data/stripping.txt
"Ваня сказала, что Вика тебя позвала гулять, а я думал, что __ меня __.","Вика, позвала гулять",stripping,https://github.com/dcavar/thec_rus/blob/main/data/stripping.txt
"Ольга хорошо говорит по-немецки, и Катя тоже __.",хорошо говорит по-немецки,stripping,https://github.com/dcavar/thec_rus/blob/main/data/stripping.txt
"Ольга уехала из своей страны в молодом возрасте, и Катя тоже __.",уехала из своей страны в молодом возрасте,stripping,https://github.com/dcavar/thec_rus/blob/main/data/stripping.txt
"И Ольгу встретили в магазине, и Kатю __.",встретили в магазине,stripping,https://github.com/dcavar/thec_rus/blob/main/data/stripping.txt
"Kирилл не позвал Любу в кино, и Bася тоже __.",не позвал Любу в кино,stripping,https://github.com/dcavar/thec_rus/blob/main/data/stripping.txt
"Дикие кошки бегают скорее, чем домашние __.",кошки бегают,stripping,https://github.com/dcavar/thec_rus/blob/main/data/stripping.txt
"Я думал, что никто не знает эту песню, а на самом деле Маша спела __.",эту песню,verb-stranding,https://github.com/dcavar/thec_rus/blob/main/data/verb_stranding.txt
"Я думал, что Саша будет петь эту песню, а на самом деле Маша будет __.",петь эту песню,verb-stranding,https://github.com/dcavar/thec_rus/blob/main/data/verb_stranding.txt
"Кто-нибудь будет есть кашу?
Петя точно будет __.",есть кашу,verb-stranding,original
"Человек описыавет какой-то город, но нам не ясно, какой __.",город человек описывает,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Мне нравится эта песня, но не знаю почему __.",мне нравится эта песня,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Она убила его, но чем __, не знаем.",она убила его,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Незнакомый вручил мне подарок, но не ясно почему __.",незнакомый вручил мне подарок,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Она встала и ушла, а её парень не знал, почему __.",она встала и ушла,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Что-то купили на рынке, но ещё не объяснили что __.",купили на рынке,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Я хочу поехать за границу, но не знаю куда __.",хочу поехать,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Его убили, но не знаю почему __.",его убили,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Он говорит с иностранным акцентом, но мы не знаем почему __.",он говорит с иностранным акцентом,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько __.",он вернет мою книгу сегодня,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Он починил мою машину, но я не понимаю как __.",он починил мою машину,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Иван прыгнул в колодец!
Почему __?",Иван прыгнул в колодец,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Сегодня пойдём в бар, но мне ещё не сказали когда __.",сегодня пойдём в бар,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Они купили надувной замок, но не ясно кому __.",они купили надувной замок,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Они смеются, но непонятно над кем __.",они смеются,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Иван улыбается, и Миша знает почему __.",Иван улыбается,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Он вдруг бросился и больно укусил мне палец, не знаю за что __.",он вдруг бросился и больно укусил мне палец,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Ну, для чего берут в таких случаях что-нибудь в руку? 
Я не знаю, для чего __.",берут в таких случаях что-нибудь в руку,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Из чего эта тряпка была: из холста, из полотна? 
Черт ее знает из чего __.",тряпка была,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Да зачем упразднять?
А чтоб истина скорей воссияла, вот зачем __.",упразднять,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Дмитрия же не застанет еще вернее, и ему предчувствовалось почему __.",Дмитрия же не застанет еще вернее,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Теперь уж Алеша был почти уверен в этом, сам не зная еще почему __.",был почти уверен в этом,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Преследовать и звать его он не захотел, он знал почему __.",преследовать и звать его он не захотел,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Не будете больше играть. 
Почему __?",не будете больше играть,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Почему не будем больше играть? 
Плюньте и уйдите, вот почему __.",не будем больше играть,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"А ведь я знал, что он повесился. 
От кого же __?",я знал что он повесился,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"А ведь я знал, что он повесился. 
Не знаю от кого __.",я знал что он повесился,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Как он убит, чем __ и как __? ","убит, убит",sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Убил Смердяков, но как __?",убил Смердяков,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Они взяли да меня и высекли. 
Да за что же __, за что __?","взяли меня и высекли, взяли меня и высекли",sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Кити не только уверила его, что она его любит, но даже, отвечая на его вопрос, за что она любит его, объяснила ему, за что __.",она его любит,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Ты в клубе пил, пил, играл и потом поехал… к кому __?",ты поехал,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Да, я распоряжусь, — решила она и, возвращаясь к прежним мыслям, вспомнила, что что-то важное, душевное было не додумано еще, и она стала вспоминать что __.",было не додумано еще,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
А они нападают на Анну. За что __?,они нападают на Анну,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Я страдаю, ты страдаешь. За что __?",мы страдаем,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Он видел, что в душе ее совершалось что-то прекрасное, но что __?",совершалось,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Иван нашёл хорошее кафе, но __ нам не говорит, где __.","Иван, Иван нашёл хорошее кафе","NP_ellipsis, sluicing",https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Мы бы хотели кому-нибудь помогать, но не знаем кому __.",мы бы хотели помогать,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Наш брат поймал какую-то рыбу из речки, но мы не можем видеть какую __.",рыбу наш брат поймал из речки,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Если мы не можем здесь платить карточкой, то чем __?",мы можем здесь платить,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Им надо ждать дольше, но мы не знаем сколько __.",им надо ждать,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Кто-то съел все печенья, но я не знаю, кто __.",съел все печенья,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Марина увидела что-то странное, но я не знаю что __.",Марина увидела,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Митя где-то будет праздновать день рождения, но не знаю где __.",Митя будет праздновать день рождения,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Вова когда-то придет. 
Когда __?",придет Вова,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Я не знаю что __, но что-то Марина увидела.",видела Марина,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Маша кому-то что-то подарила, но я не помню кому что __.",Маша подарила,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Кто-то что-то пел, но я не понимал, кто что __.",пел,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Иван что-то купил, но я не помню, чтo __.",Иван купил,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Дети с кем-то дрались, но мне не важно с кем __.",дрались дети,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Каждый пригласил кого-то танцевать, но я не помню, кто кого __.",пригласил танцевать,sluicing,https://github.com/dcavar/thec_rus/blob/main/data/sluicing.txt
"Я ушел из дому, на долгие годы порвал с друзьями, жил бог знает где и бог знает с кем __.",жил,sluicing,[ast. Запись LiveJournal (2004)]
"Каждый день, сидя в классе, мы записывали практически весь ход урока: что спрашивали учителя, что и как отвечал ученик, как общался с другими ребятами или учителем, какие задавал вопросы и кому __.",задавал вопросы,sluicing,"[М. Э. Боцманова, Р. Д. Триггер. Изучение психологии подростка в лаборатории Д.Б. Эльконина // «Вопросы психологии», 2004]"
"Эффектно сумели бы многие, но глубоко — мало кто __.",сумел бы,sluicing,[Анатолий Эфрос. Профессия: режиссер (1975-1987)]
"Петя знает, кто будет писать ему предложение для сочинения, но не знает какие __.",будет писать ему предложение для сочинения,sluicing,original
"Витя что-то купил, но я не знаю, что __.",купил Витя,sluicing,original
"Петя знает кто будет организовывать банкет, но не знает где __.",будет организовыван банкет,sluicing,original
"Миша будет выступать на собрании, но пока не знает зачем __.",будет выступать на собрании,sluicing,original
К кому ж мы пойдем?  Как к кому __?.. Там у меня тетка…,мы пойдем,sluicing,[С. А. Есенин. Яр (1915)]
"А кому и штрафовать-то?  Как кому __?.. Да ведь у вас старшина есть, а дальше волость, наконец, исправник, мировой судья!..",штрафовать,sluicing,"[А. А. Черкасов. На Алтае (1884) // На Алтае: Записки городского головы, 2004]"
"Кто ж обижает-то?  Как кто __!.. Известно, начальство, власти…",обижает,sluicing,[В. В. Крестовский. Панургово стадо (Ч. 1-2) (1869)]
"Разумеется, у них напрочь пропадает желание учиться и посещать школу, и вполне понятно, почему __.",у них напрочь пропадает желание учиться и посещать школу,sluicing,[Алевтина Луговская. Если ребенок боится ходить в школу (2002)]
